

Data analysis for each instance 
AVG,MED,MAX,MIN
0.99,0.99,0.99,0.99,
0.987,0.987,0.987,0.987,
1,1,1,1,
0.993,0.993,0.993,0.993,
0.948,0.948,0.948,0.948,
0.98,0.98,0.98,0.98,
1,1,1,1,
0.923,0.923,0.923,0.923,
0.982,0.982,0.982,0.982,
0.972,0.972,0.972,0.972,
0.938,0.938,0.938,0.938,
0.935,0.935,0.935,0.935,
1,1,1,1,
0.976,0.976,0.976,0.976,
0.966,0.966,0.966,0.966,
0.99,0.99,0.99,0.99,
0.962,0.962,0.962,0.962,
1,1,1,1,
0.949,0.949,0.949,0.949,
0.899,0.899,0.899,0.899,
0.903,0.903,0.903,0.903,
0.896,0.896,0.896,0.896,
0.989,0.989,0.989,0.989,
0.992,0.992,0.992,0.992,
0.958,0.958,0.958,0.958,
1,1,1,1,
0.972,0.972,0.972,0.972,
0.959,0.959,0.959,0.959,
0.996,0.996,0.996,0.996,
1,1,1,1,
0.947,0.947,0.947,0.947,
0.927,0.927,0.927,0.927,
0.968,0.968,0.968,0.968,
0.942,0.942,0.942,0.942,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.986,0.986,0.986,0.986,
1,1,1,1,
1,1,1,1,
1,1,1,1,
0.95,0.95,0.95,0.95,
0.966,0.966,0.966,0.966,
0.994,0.994,0.994,0.994,
0.991,0.991,0.991,0.991,
0.993,0.993,0.993,0.993,
1,1,1,1,
0.97,0.97,0.97,0.97,
0.92,0.92,0.92,0.92,
0.935,0.935,0.935,0.935,
1,1,1,1,
1,1,1,1,
0.959,0.959,0.959,0.959,
0.889,0.889,0.889,0.889,
0.92,0.92,0.92,0.92,
1,1,1,1,
0.963,0.963,0.963,0.963,
0.959,0.959,0.959,0.959,
0.981,0.981,0.981,0.981,
0.987,0.987,0.987,0.987,
1,1,1,1,
0.847,0.847,0.847,0.847,
1,1,1,1,
0.927,0.927,0.927,0.927,
1,1,1,1,
0.919,0.919,0.919,0.919,




Further Data analysis of all test cases 
avg med max min 
AVGs,0.971,0.978,1,0.867,
MEDs,0.971,0.978,1,0.867,
MEDs,0.971,0.978,1,0.867,
MEDs,0.971,0.978,1,0.867,


AVGs,0.955,0.962,1,0.796,
MEDs,0.955,0.962,1,0.796,
MEDs,0.955,0.962,1,0.796,
MEDs,0.955,0.962,1,0.796,


AVGs,0.961,0.968,1,0.757,
MEDs,0.961,0.968,1,0.757,
MEDs,0.961,0.968,1,0.757,
MEDs,0.961,0.968,1,0.757,


AVGs,0.957,0.969,1,0.796,
MEDs,0.957,0.969,1,0.796,
MEDs,0.957,0.969,1,0.796,
MEDs,0.957,0.969,1,0.796,


AVGs,0.972,0.986,1,0.847,
MEDs,0.972,0.986,1,0.847,
MEDs,0.972,0.986,1,0.847,
MEDs,0.972,0.986,1,0.847,



